Started training, total epoch : 10
Training data size: 4906
Started epoch 1
Trained 1 batches 	Training Loss: 0.771083
Trained 3801 batches 	Training Loss: 0.132543
Trained 3851 batches 	Training Loss: 0.133735
Trained 3901 batches 	Training Loss: 0.129857
Trained 3951 batches 	Training Loss: 0.147186
Trained 4001 batches 	Training Loss: 0.178854
Trained 4051 batches 	Training Loss: 0.135121
Trained 4101 batches 	Training Loss: 0.177704
Trained 4151 batches 	Training Loss: 0.177153
Trained 4201 batches 	Training Loss: 0.149061
Trained 4251 batches 	Training Loss: 0.134588
Trained 4301 batches 	Training Loss: 0.094718
Trained 4351 batches 	Training Loss: 0.093092
Trained 4401 batches 	Training Loss: 0.151153
Trained 4451 batches 	Training Loss: 0.105517
Trained 4501 batches 	Training Loss: 0.189634
Trained 4551 batches 	Training Loss: 0.123423
Trained 4601 batches 	Training Loss: 0.124317
Trained 4651 batches 	Training Loss: 0.155465
Trained 4701 batches 	Training Loss: 0.156780
Trained 4751 batches 	Training Loss: 0.147877
Trained 4801 batches 	Training Loss: 0.214824
Trained 4851 batches 	Training Loss: 0.153437
Trained 4901 batches 	Training Loss: 0.140660
Epoch: 6 	Training Loss: 0.152884
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.804
The AUROC of Atelectasis is 0.7897761080296917
The AUROC of Cardiomegaly is 0.8937553493058801
The AUROC of Effusion is 0.8701254414717338
The AUROC of Infiltration is 0.7083527242368454
The AUROC of Mass is 0.8105274236531679
The AUROC of Nodule is 0.704412082958281
The AUROC of Pneumonia is 0.7385605754719953
The AUROC of Pneumothorax is 0.8325129901592235
The AUROC of Consolidation is 0.7835397155523695
The AUROC of Edema is 0.876462855119522
The AUROC of Emphysema is 0.8356224347449824
The AUROC of Fibrosis is 0.7753786796997505
The AUROC of Pleural_Thickening is 0.7631057900286092
The AUROC of Hernia is 0.8700316155414002
Started epoch 7
Trained 1 batches 	Training Loss: 0.049133
Trained 51 batches 	Training Loss: 0.157287
Trained 101 batches 	Training Loss: 0.213353
Trained 151 batches 	Training Loss: 0.117991
Trained 201 batches 	Training Loss: 0.110540
Trained 251 batches 	Training Loss: 0.156385
Trained 301 batches 	Training Loss: 0.123505
Trained 351 batches 	Training Loss: 0.178402
Trained 401 batches 	Training Loss: 0.171397
Trained 451 batches 	Training Loss: 0.173570
Trained 501 batches 	Training Loss: 0.184681
Trained 551 batches 	Training Loss: 0.160852
Trained 601 batches 	Training Loss: 0.118335
Trained 651 batches 	Training Loss: 0.179491
Trained 701 batches 	Training Loss: 0.161876
Trained 751 batches 	Training Loss: 0.139364
Trained 801 batches 	Training Loss: 0.115047
Trained 851 batches 	Training Loss: 0.168041
Trained 901 batches 	Training Loss: 0.224499
Trained 951 batches 	Training Loss: 0.145909
Trained 1001 batches 	Training Loss: 0.102151
Trained 1051 batches 	Training Loss: 0.107265
Trained 1101 batches 	Training Loss: 0.172999
Trained 1151 batches 	Training Loss: 0.137135
Trained 1201 batches 	Training Loss: 0.159980
Trained 1251 batches 	Training Loss: 0.091074
Trained 1301 batches 	Training Loss: 0.111912
Trained 1351 batches 	Training Loss: 0.144317
Trained 1401 batches 	Training Loss: 0.116889
Trained 1451 batches 	Training Loss: 0.142538
Trained 1501 batches 	Training Loss: 0.087089
Trained 1551 batches 	Training Loss: 0.179125
Trained 1601 batches 	Training Loss: 0.142910
Trained 1651 batches 	Training Loss: 0.101570
Trained 1701 batches 	Training Loss: 0.111962
Trained 1751 batches 	Training Loss: 0.297119
Trained 1801 batches 	Training Loss: 0.134274
Trained 1851 batches 	Training Loss: 0.142340
Trained 1901 batches 	Training Loss: 0.134975
Trained 1951 batches 	Training Loss: 0.183630
Trained 2001 batches 	Training Loss: 0.175246
Trained 2051 batches 	Training Loss: 0.148640
Trained 2101 batches 	Training Loss: 0.141601
Trained 2151 batches 	Training Loss: 0.286825
Trained 2201 batches 	Training Loss: 0.151962
Trained 2251 batches 	Training Loss: 0.093151
Trained 2301 batches 	Training Loss: 0.170455
Trained 2351 batches 	Training Loss: 0.125450
Trained 2401 batches 	Training Loss: 0.174184
Trained 2451 batches 	Training Loss: 0.252034
Trained 2501 batches 	Training Loss: 0.140172
Trained 2551 batches 	Training Loss: 0.080143
Trained 2601 batches 	Training Loss: 0.091055
Trained 2651 batches 	Training Loss: 0.185839
Trained 2701 batches 	Training Loss: 0.096516
Trained 2751 batches 	Training Loss: 0.170804
Trained 2801 batches 	Training Loss: 0.094359
Trained 2851 batches 	Training Loss: 0.262172
Trained 2901 batches 	Training Loss: 0.219970
Trained 2951 batches 	Training Loss: 0.111738
Trained 3001 batches 	Training Loss: 0.213850
Trained 3051 batches 	Training Loss: 0.164010
Trained 3101 batches 	Training Loss: 0.135397
Trained 3151 batches 	Training Loss: 0.090931
Trained 3201 batches 	Training Loss: 0.158710
Trained 3251 batches 	Training Loss: 0.216833
Trained 3301 batches 	Training Loss: 0.098450
Trained 3351 batches 	Training Loss: 0.149645
Trained 3401 batches 	Training Loss: 0.200980
Trained 3451 batches 	Training Loss: 0.147951
Trained 3501 batches 	Training Loss: 0.158139
Trained 3551 batches 	Training Loss: 0.161180
Trained 3601 batches 	Training Loss: 0.177793
Trained 3651 batches 	Training Loss: 0.056953
Trained 3701 batches 	Training Loss: 0.170712
Trained 3751 batches 	Training Loss: 0.200686
Trained 3801 batches 	Training Loss: 0.126716
Trained 3851 batches 	Training Loss: 0.121972
Trained 3901 batches 	Training Loss: 0.158092
Trained 3951 batches 	Training Loss: 0.126053
Trained 4001 batches 	Training Loss: 0.147153
Trained 4051 batches 	Training Loss: 0.119062
Trained 4101 batches 	Training Loss: 0.193245
Trained 4151 batches 	Training Loss: 0.156718
Trained 4201 batches 	Training Loss: 0.112199
Trained 4251 batches 	Training Loss: 0.189954
Trained 4301 batches 	Training Loss: 0.169004
Trained 4351 batches 	Training Loss: 0.221342
Trained 4401 batches 	Training Loss: 0.108139
Trained 4451 batches 	Training Loss: 0.169015
Trained 4501 batches 	Training Loss: 0.099291
Trained 4551 batches 	Training Loss: 0.131661
Trained 4601 batches 	Training Loss: 0.158682
Trained 4651 batches 	Training Loss: 0.136708
Trained 4701 batches 	Training Loss: 0.127621
Trained 4751 batches 	Training Loss: 0.119785
Trained 4801 batches 	Training Loss: 0.148599
Trained 4851 batches 	Training Loss: 0.148665
Trained 4901 batches 	Training Loss: 0.132437
Epoch: 7 	Training Loss: 0.150761
Started epoch 8
Trained 1 batches 	Training Loss: 0.187514
Trained 51 batches 	Training Loss: 0.111552
Trained 101 batches 	Training Loss: 0.120367
Trained 151 batches 	Training Loss: 0.137139
Trained 201 batches 	Training Loss: 0.151083
Trained 251 batches 	Training Loss: 0.174221
Trained 301 batches 	Training Loss: 0.222005
Trained 351 batches 	Training Loss: 0.163023
Trained 401 batches 	Training Loss: 0.233443
Trained 451 batches 	Training Loss: 0.191979
Trained 501 batches 	Training Loss: 0.152864
Trained 551 batches 	Training Loss: 0.095791
Trained 601 batches 	Training Loss: 0.120483
Trained 651 batches 	Training Loss: 0.180206
Trained 701 batches 	Training Loss: 0.179647
Trained 751 batches 	Training Loss: 0.134787
Trained 801 batches 	Training Loss: 0.059636
Trained 851 batches 	Training Loss: 0.177427
Trained 901 batches 	Training Loss: 0.122012
Trained 951 batches 	Training Loss: 0.121484
Trained 1001 batches 	Training Loss: 0.130681
Trained 1051 batches 	Training Loss: 0.178657
Trained 1101 batches 	Training Loss: 0.108326
Trained 1151 batches 	Training Loss: 0.164016
Trained 1201 batches 	Training Loss: 0.139922
Trained 1251 batches 	Training Loss: 0.099996
Trained 1301 batches 	Training Loss: 0.155849
Trained 1351 batches 	Training Loss: 0.113518
Trained 1401 batches 	Training Loss: 0.131151
Trained 1451 batches 	Training Loss: 0.120019
Trained 1501 batches 	Training Loss: 0.148844
Trained 1551 batches 	Training Loss: 0.133960
Trained 1601 batches 	Training Loss: 0.161765
Trained 1651 batches 	Training Loss: 0.123874
Trained 1701 batches 	Training Loss: 0.160474
Trained 1751 batches 	Training Loss: 0.096790
Trained 1801 batches 	Training Loss: 0.119629
Trained 1851 batches 	Training Loss: 0.174314
Trained 1901 batches 	Training Loss: 0.105868
Trained 1951 batches 	Training Loss: 0.223049
Trained 2001 batches 	Training Loss: 0.169162
Trained 2051 batches 	Training Loss: 0.153751
Trained 2101 batches 	Training Loss: 0.142334
Trained 2151 batches 	Training Loss: 0.197340
Trained 2201 batches 	Training Loss: 0.148883
Trained 2251 batches 	Training Loss: 0.156100
Trained 2301 batches 	Training Loss: 0.265256
Trained 2351 batches 	Training Loss: 0.166474
Trained 2401 batches 	Training Loss: 0.152217
Trained 2451 batches 	Training Loss: 0.122578
Trained 2501 batches 	Training Loss: 0.188827
Trained 2551 batches 	Training Loss: 0.137822
Trained 2601 batches 	Training Loss: 0.143117
Trained 2651 batches 	Training Loss: 0.147835
Trained 2701 batches 	Training Loss: 0.123618
Trained 2751 batches 	Training Loss: 0.188010
Trained 2801 batches 	Training Loss: 0.134856
Trained 2851 batches 	Training Loss: 0.130471
Trained 2901 batches 	Training Loss: 0.131239
Trained 2951 batches 	Training Loss: 0.132613
Trained 3001 batches 	Training Loss: 0.117465
Trained 3051 batches 	Training Loss: 0.172930
Trained 3101 batches 	Training Loss: 0.156177
Trained 3151 batches 	Training Loss: 0.112106
Trained 3201 batches 	Training Loss: 0.178220
Trained 3251 batches 	Training Loss: 0.175524
Trained 3301 batches 	Training Loss: 0.185383
Trained 3351 batches 	Training Loss: 0.139147
Trained 3401 batches 	Training Loss: 0.199823
Trained 3451 batches 	Training Loss: 0.102533
Trained 3501 batches 	Training Loss: 0.135718
Trained 3551 batches 	Training Loss: 0.108313
Trained 3601 batches 	Training Loss: 0.135990
Trained 3651 batches 	Training Loss: 0.128197
Trained 3701 batches 	Training Loss: 0.113870
Trained 3751 batches 	Training Loss: 0.148832
Trained 3801 batches 	Training Loss: 0.166175
Trained 3851 batches 	Training Loss: 0.181548
Trained 3901 batches 	Training Loss: 0.074555
Trained 3951 batches 	Training Loss: 0.187013
Trained 4001 batches 	Training Loss: 0.136561
Trained 4051 batches 	Training Loss: 0.144140
Trained 4101 batches 	Training Loss: 0.146216
Trained 4151 batches 	Training Loss: 0.124370
Trained 4201 batches 	Training Loss: 0.180357
Trained 4251 batches 	Training Loss: 0.118354
Trained 4301 batches 	Training Loss: 0.115090
Trained 4351 batches 	Training Loss: 0.135384
Trained 4401 batches 	Training Loss: 0.128340
Trained 4451 batches 	Training Loss: 0.195221
Trained 4501 batches 	Training Loss: 0.108347
Trained 4551 batches 	Training Loss: 0.118867
Trained 4601 batches 	Training Loss: 0.093876
Trained 4651 batches 	Training Loss: 0.122656
Trained 4701 batches 	Training Loss: 0.116598
Trained 4751 batches 	Training Loss: 0.207877
Trained 4801 batches 	Training Loss: 0.122567
Trained 4851 batches 	Training Loss: 0.188682
Trained 4901 batches 	Training Loss: 0.151247
Epoch: 8 	Training Loss: 0.148928
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.809
The AUROC of Atelectasis is 0.784389931548022
The AUROC of Cardiomegaly is 0.8920799922302282
The AUROC of Effusion is 0.8722265899029972
The AUROC of Infiltration is 0.7040587216937205
The AUROC of Mass is 0.8139200293293627
The AUROC of Nodule is 0.7148503128431867
The AUROC of Pneumonia is 0.7622040096331996
The AUROC of Pneumothorax is 0.8464192271064106
The AUROC of Consolidation is 0.7870600323471406
The AUROC of Edema is 0.8889974159428041
The AUROC of Emphysema is 0.8494883120391918
The AUROC of Fibrosis is 0.7898313446624408
The AUROC of Pleural_Thickening is 0.7463539023458654
The AUROC of Hernia is 0.8712996412933862
Started epoch 9
Trained 1 batches 	Training Loss: 0.147237
Trained 51 batches 	Training Loss: 0.137852
Trained 101 batches 	Training Loss: 0.176010
Trained 151 batches 	Training Loss: 0.164153
Trained 201 batches 	Training Loss: 0.172395
Trained 251 batches 	Training Loss: 0.190979
Trained 301 batches 	Training Loss: 0.210243
Trained 351 batches 	Training Loss: 0.101149
Trained 401 batches 	Training Loss: 0.285053
Trained 451 batches 	Training Loss: 0.096012
Trained 501 batches 	Training Loss: 0.081335
Trained 551 batches 	Training Loss: 0.122426
Trained 601 batches 	Training Loss: 0.106602
Trained 651 batches 	Training Loss: 0.136675
Trained 701 batches 	Training Loss: 0.110938
Trained 751 batches 	Training Loss: 0.049917
Trained 801 batches 	Training Loss: 0.220550
Trained 851 batches 	Training Loss: 0.149827
Trained 901 batches 	Training Loss: 0.141885
Trained 951 batches 	Training Loss: 0.160539
Trained 1001 batches 	Training Loss: 0.174148
Trained 1051 batches 	Training Loss: 0.142914
Trained 1101 batches 	Training Loss: 0.153581
Trained 1151 batches 	Training Loss: 0.131000
Trained 1201 batches 	Training Loss: 0.215589
Trained 1251 batches 	Training Loss: 0.069913
Trained 1301 batches 	Training Loss: 0.144677
Trained 1351 batches 	Training Loss: 0.169252
Trained 1401 batches 	Training Loss: 0.160406
Trained 1451 batches 	Training Loss: 0.147222
Trained 1501 batches 	Training Loss: 0.136906
Trained 1551 batches 	Training Loss: 0.160172
Trained 1601 batches 	Training Loss: 0.125394
Trained 1651 batches 	Training Loss: 0.087400
Trained 1701 batches 	Training Loss: 0.238764
Trained 1751 batches 	Training Loss: 0.105976
Trained 1801 batches 	Training Loss: 0.224504
Trained 1851 batches 	Training Loss: 0.262897
Trained 1901 batches 	Training Loss: 0.146528
Trained 1951 batches 	Training Loss: 0.151465
Trained 2001 batches 	Training Loss: 0.364472
Trained 2051 batches 	Training Loss: 0.074239
Trained 2101 batches 	Training Loss: 0.158522
Trained 2151 batches 	Training Loss: 0.142422
Trained 2201 batches 	Training Loss: 0.153104
Trained 2251 batches 	Training Loss: 0.168045
Trained 2301 batches 	Training Loss: 0.131684
Trained 2351 batches 	Training Loss: 0.133532
Trained 2401 batches 	Training Loss: 0.171657
Trained 2451 batches 	Training Loss: 0.167990
Trained 2501 batches 	Training Loss: 0.181810
Trained 2551 batches 	Training Loss: 0.171608
Trained 2601 batches 	Training Loss: 0.130243
Trained 2651 batches 	Training Loss: 0.111720
Trained 2701 batches 	Training Loss: 0.146887
Trained 2751 batches 	Training Loss: 0.092123
Trained 2801 batches 	Training Loss: 0.278515
Trained 2851 batches 	Training Loss: 0.192926
Trained 2901 batches 	Training Loss: 0.219224
Trained 2951 batches 	Training Loss: 0.128832
Trained 3001 batches 	Training Loss: 0.160176
Trained 3051 batches 	Training Loss: 0.098033
Trained 3101 batches 	Training Loss: 0.134983
Trained 3151 batches 	Training Loss: 0.091145
Trained 3201 batches 	Training Loss: 0.057400
Trained 3251 batches 	Training Loss: 0.163566
Trained 3301 batches 	Training Loss: 0.094756
Trained 3351 batches 	Training Loss: 0.119903
Trained 3401 batches 	Training Loss: 0.118533
Trained 3451 batches 	Training Loss: 0.137181
Trained 3501 batches 	Training Loss: 0.201925
Trained 3551 batches 	Training Loss: 0.158360
Trained 3601 batches 	Training Loss: 0.198074
Trained 3651 batches 	Training Loss: 0.145626
Trained 3701 batches 	Training Loss: 0.121974
Trained 3751 batches 	Training Loss: 0.071337
Trained 3801 batches 	Training Loss: 0.136824
Trained 3851 batches 	Training Loss: 0.124933
Trained 3901 batches 	Training Loss: 0.135792
Trained 3951 batches 	Training Loss: 0.138717
Trained 4001 batches 	Training Loss: 0.138846
Trained 4051 batches 	Training Loss: 0.165994
Trained 4101 batches 	Training Loss: 0.128547
Trained 4151 batches 	Training Loss: 0.108965
Trained 4201 batches 	Training Loss: 0.127906
Trained 4251 batches 	Training Loss: 0.177602
Trained 4301 batches 	Training Loss: 0.151423
Trained 4351 batches 	Training Loss: 0.106158
Trained 4401 batches 	Training Loss: 0.099594
Trained 4451 batches 	Training Loss: 0.214787
Trained 4501 batches 	Training Loss: 0.081879
Trained 4551 batches 	Training Loss: 0.169263
Trained 4601 batches 	Training Loss: 0.140366
Trained 4651 batches 	Training Loss: 0.153058
Trained 4701 batches 	Training Loss: 0.165908
Trained 4751 batches 	Training Loss: 0.138262
Trained 4801 batches 	Training Loss: 0.210710
Trained 4851 batches 	Training Loss: 0.159913
Trained 4901 batches 	Training Loss: 0.171210
Epoch: 9 	Training Loss: 0.147236
Started epoch 10
Trained 1 batches 	Training Loss: 0.151150
Trained 51 batches 	Training Loss: 0.167245
Trained 101 batches 	Training Loss: 0.114184
Trained 151 batches 	Training Loss: 0.167094
Trained 201 batches 	Training Loss: 0.104250
Trained 251 batches 	Training Loss: 0.109925
Trained 301 batches 	Training Loss: 0.165774
Trained 351 batches 	Training Loss: 0.086137
Trained 401 batches 	Training Loss: 0.199050
Trained 451 batches 	Training Loss: 0.135695
Trained 501 batches 	Training Loss: 0.145284
Trained 551 batches 	Training Loss: 0.106916
Trained 601 batches 	Training Loss: 0.108587
Trained 651 batches 	Training Loss: 0.164903
Trained 701 batches 	Training Loss: 0.117824
Trained 751 batches 	Training Loss: 0.130335
Trained 801 batches 	Training Loss: 0.160698
Trained 851 batches 	Training Loss: 0.085820
Trained 901 batches 	Training Loss: 0.128448
Trained 951 batches 	Training Loss: 0.103085
Trained 1001 batches 	Training Loss: 0.113149
Trained 1051 batches 	Training Loss: 0.241627
Trained 1101 batches 	Training Loss: 0.121105
Trained 1151 batches 	Training Loss: 0.210971
Trained 1201 batches 	Training Loss: 0.126196
Trained 1251 batches 	Training Loss: 0.114927
Trained 1301 batches 	Training Loss: 0.171027
Trained 1351 batches 	Training Loss: 0.241231
Trained 1401 batches 	Training Loss: 0.155304
Trained 1451 batches 	Training Loss: 0.117034
Trained 1501 batches 	Training Loss: 0.158120
Trained 1551 batches 	Training Loss: 0.146759
Trained 1601 batches 	Training Loss: 0.099648
Trained 1651 batches 	Training Loss: 0.179381
Trained 1701 batches 	Training Loss: 0.115963
Trained 1751 batches 	Training Loss: 0.091248
Trained 1801 batches 	Training Loss: 0.122078
Trained 1851 batches 	Training Loss: 0.176889
Trained 1901 batches 	Training Loss: 0.074637
Trained 1951 batches 	Training Loss: 0.136508
Trained 2001 batches 	Training Loss: 0.133230
Trained 2051 batches 	Training Loss: 0.164908
Trained 2101 batches 	Training Loss: 0.139574
Trained 2151 batches 	Training Loss: 0.197758
Trained 2201 batches 	Training Loss: 0.116869
Trained 2251 batches 	Training Loss: 0.123405
Trained 2301 batches 	Training Loss: 0.160004
Trained 2351 batches 	Training Loss: 0.144073
Trained 2401 batches 	Training Loss: 0.147641
Trained 2451 batches 	Training Loss: 0.236959
Trained 2501 batches 	Training Loss: 0.124372
Trained 2551 batches 	Training Loss: 0.168955
Trained 2601 batches 	Training Loss: 0.115257
Trained 2651 batches 	Training Loss: 0.153404
Trained 2701 batches 	Training Loss: 0.181991
Trained 2751 batches 	Training Loss: 0.129559
Trained 2801 batches 	Training Loss: 0.193182
Trained 2851 batches 	Training Loss: 0.149870
Trained 2901 batches 	Training Loss: 0.141334
Trained 2951 batches 	Training Loss: 0.125078
Trained 3001 batches 	Training Loss: 0.111314
Trained 3051 batches 	Training Loss: 0.118463
Trained 3101 batches 	Training Loss: 0.113026
Trained 3151 batches 	Training Loss: 0.135398
Trained 3201 batches 	Training Loss: 0.099099
Trained 3251 batches 	Training Loss: 0.104292
Trained 3301 batches 	Training Loss: 0.177445
Trained 3351 batches 	Training Loss: 0.129422
Trained 3401 batches 	Training Loss: 0.217911
Trained 3451 batches 	Training Loss: 0.155032
Trained 3501 batches 	Training Loss: 0.198723
Trained 3551 batches 	Training Loss: 0.165602
Trained 3601 batches 	Training Loss: 0.184544
Trained 3651 batches 	Training Loss: 0.204497
Trained 3701 batches 	Training Loss: 0.124495
Trained 3751 batches 	Training Loss: 0.116928
Trained 3801 batches 	Training Loss: 0.095216
Trained 3851 batches 	Training Loss: 0.110897
Trained 3901 batches 	Training Loss: 0.122745
Trained 3951 batches 	Training Loss: 0.195711
Trained 4001 batches 	Training Loss: 0.176069
Trained 4051 batches 	Training Loss: 0.105740
Trained 4101 batches 	Training Loss: 0.265762
Trained 4151 batches 	Training Loss: 0.142477
Trained 4201 batches 	Training Loss: 0.129085
Trained 4251 batches 	Training Loss: 0.147536
Trained 4301 batches 	Training Loss: 0.130426
Trained 4351 batches 	Training Loss: 0.150098
Trained 4401 batches 	Training Loss: 0.140741
Trained 4451 batches 	Training Loss: 0.130959
Trained 4501 batches 	Training Loss: 0.138952
Trained 4551 batches 	Training Loss: 0.130719
Trained 4601 batches 	Training Loss: 0.165115
Trained 4651 batches 	Training Loss: 0.106509
Trained 4701 batches 	Training Loss: 0.171123
Trained 4751 batches 	Training Loss: 0.166147
Trained 4801 batches 	Training Loss: 0.171681
Trained 4851 batches 	Training Loss: 0.184734
Trained 4901 batches 	Training Loss: 0.157365
Epoch: 10 	Training Loss: 0.145335
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.819
The AUROC of Atelectasis is 0.7931435078218952
The AUROC of Cardiomegaly is 0.9003887921039693
The AUROC of Effusion is 0.8760233980018868
The AUROC of Infiltration is 0.7085651704019871
The AUROC of Mass is 0.8176353667374268
The AUROC of Nodule is 0.7338285858490269
The AUROC of Pneumonia is 0.7686385516982668
The AUROC of Pneumothorax is 0.8520526957713065
The AUROC of Consolidation is 0.7864859489999637
The AUROC of Edema is 0.8908544716243398
The AUROC of Emphysema is 0.8686252577192494
The AUROC of Fibrosis is 0.7726365111952921
The AUROC of Pleural_Thickening is 0.7724769099987338
The AUROC of Hernia is 0.9259992085476849
Training time lapse: 107.0 min
Evaluating test data...	 test_loader: 1402
Evaluating time lapse: 1.0 min
The average AUROC is 0.813
The AUROC of Atelectasis is 0.7918263211610711
The AUROC of Cardiomegaly is 0.8966455630141744
The AUROC of Effusion is 0.8773496003517194
The AUROC of Infiltration is 0.7007212433533367
The AUROC of Mass is 0.8156071371925888
The AUROC of Nodule is 0.7212641357103471
The AUROC of Pneumonia is 0.7406003515268047
The AUROC of Pneumothorax is 0.856946009163153
The AUROC of Consolidation is 0.7968246138347919
The AUROC of Edema is 0.900835705266545
The AUROC of Emphysema is 0.8721067380160721
The AUROC of Fibrosis is 0.7781172685890422
The AUROC of Pleural_Thickening is 0.7751315041997483
The AUROC of Hernia is 0.8612106265459347
